index,RF_Regressor,ET_Regressor,XGB_Regressor,ensamble
235,1553.1834638148619,1207.0,1207.0001,1322.3945286283915
235,1761.6111544964026,2968.0,2967.9995,2565.8702220717173
235,1553.2375779287281,1133.0,1133.0002,1273.0792740231177
235,1572.351534971685,1444.0,1443.9998,1486.7837636103534
235,1896.628478202808,1947.0,1947.0007,1930.2097368748944
235,1905.2352123297924,2071.0,2071.0005,2015.7452335370142
235,1584.4947670037343,1346.0,1346.0007,1425.4984998085365
235,1144.37537907572,953.0,952.9987,1016.7913657791463
235,1228.5005020915928,1162.0,1162.0009,1184.1671188612602
235,1337.3223502452345,1317.0,1316.9994,1323.7739132978907
235,1419.9364947881922,1509.0,1509.0002,1479.3122463096058
235,1874.8412353462718,1973.0,1972.9995,1940.2802490216739
235,1892.0731162986526,2195.0,2194.9985,2094.023883818301
235,1522.207898263648,1529.0,1529.0001,1526.736006777987
235,1131.4671376161425,825.0,825.00104,927.1560584045995
235,1181.3714907907454,1062.0,1061.9996,1101.7903748599358
235,1392.4989702406426,1092.0,1092.0005,1192.1664861739644
235,1430.051739049912,1245.0,1244.9998,1306.683831636429
235,1887.0003606166604,1910.0,1910.001,1902.33377905972
235,1906.5376423626915,2066.0,2066.0,2012.8458807875638
235,1835.6427741603918,1504.0,1504.0,1614.5475913867974
235,1866.1533717842226,1423.0,1423.0002,1570.7178719749493
235,2078.000146340416,3082.0,3081.9998,2747.3333007332635
235,2167.3040298585497,3477.0,3476.9976,3040.4338628174332
235,3622.4698293650786,3081.0,3081.0,3261.4899431216927
235,3776.261865079363,3959.0,3959.0,3898.0872883597876
235,3164.194538220551,3672.0,3672.0,3502.7315127401835
235,2572.2430026588904,2292.0,2292.0012,2385.414741120672
235,1867.333630952381,1680.0,1679.9999,1742.4445029606895
235,1894.3207610336822,1967.0,1967.0,1942.7735870112274
235,1917.4933919860634,1954.0,1954.0,1941.831130662021
235,1402.9188163630752,1382.0,1382.0006,1388.9731422382126
235,1937.7217081286256,1960.0,1960.0001,1952.573943399646
235,1969.761023146941,2171.0,2170.9995,2103.9201782885634
235,1677.6507665794084,1534.0,1534.0001,1581.883629549907
235,1256.261168529564,1143.0,1142.9996,1180.7536007728756
235,1294.9867543048997,1196.0,1196.0011,1228.9959509792373
235,1352.0672008453105,1346.0,1345.9996,1348.0222782114577
235,4151.707257936507,4069.0,4069.0005,4096.5692487392525
235,4260.556527777776,4812.0,4812.0,4628.185509259259
235,4216.749329365078,4519.0,4519.0005,4418.249939215442
235,3062.0929126984115,3095.0,3094.9995,3084.030808139054
235,2509.9455476190474,2496.0,2496.0002,2500.648597253224
235,2614.5729469507105,2715.0,2714.9983,2681.5237459887785
235,2634.686865079365,2711.0,2711.0002,2685.5623697399965
235,1427.0433829425112,1466.0,1465.9999,1453.014420290733
235,1911.9967405995471,2089.0,2089.0002,2029.9989949133906
235,2041.231794915553,2170.0,2170.0,2127.077264971851
235,1761.0702588456852,1643.0,1643.0001,1682.356793638666
235,1222.662828975254,1057.0,1057.0001,1112.2209836818554
235,1267.1739321498571,1132.0,1131.9998,1177.0578960030773
235,1366.021035104913,1289.0,1289.0,1314.6736783683043
235,1394.4648425752205,1323.0,1323.0004,1346.8217362620526
235,2090.382246935755,2287.0,2286.999,2221.4604234577514
235,2053.472301258048,2091.0,2091.0,2078.490767086016
235,1767.52360501502,1664.0,1663.9999,1698.5078276482357
235,1329.7787310385725,1118.0,1117.9998,1188.5928289659826
235,1399.4265154301067,1238.0,1238.0001,1291.8088791668063
235,1517.8364435342755,1436.0,1436.001,1463.2791400322585
235,1581.3824613220434,1849.0,1849.0001,1759.7941944641186
235,2578.9596210377804,3165.0,3164.9998,2969.653125632385
235,2592.851592899252,4201.0,4200.998,3664.949879924751
235,2251.0734762406737,2286.0,2286.0,2274.3578254135577
235,1449.17973897508,1315.0,1315.0002,1359.7266610385684
235,1282.6435711097347,1085.0,1085.0001,1150.8812310600158
235,1356.7011145717427,1236.0,1235.9996,1276.233582786935
235,4585.947964285715,4930.0,4929.999,4815.315662574405
235,4496.303489262373,5020.0,5020.0,4845.434496420791
235,3856.814104341737,4435.0,4434.9995,4242.271205353496
235,3043.103082112332,2804.0,2804.0002,2883.7011087509854
235,2526.428587301587,2427.0,2426.9995,2460.142699673446
235,2612.3025000000002,2677.0,2677.0005,2655.4343294270834
235,2651.272452380953,2649.0,2649.0,2649.7574841269843
235,1489.8505875689134,1617.0,1616.9994,1574.6166590724504
235,2314.0536962239894,2391.0,2391.0005,2365.3513948350796
235,2325.848243843037,2562.0,2562.0007,2483.2829920883037
235,2164.811372710492,2256.0,2255.9988,2225.6033840024556
235,1663.8772732063871,2055.0,2054.9985,1924.6252694542125
235,1597.658368444482,1273.0,1273.0,1381.2194561481608
235,1331.8347167005434,1131.0,1130.9999,1197.9448648767436
235,1394.5439230425484,1266.0,1265.9996,1308.8478522772036
235,1956.1042851866782,1976.0,1976.0009,1969.3683798929553
235,1936.4597885363983,2127.0,2127.0,2063.4865961787996
235,1686.827115416154,1732.0,1731.9991,1716.9420869746555
235,1375.5818685765948,1578.0,1577.9994,1510.5270860750109
235,1403.751656032603,1531.0,1530.9998,1488.5838039639928
235,1367.8688718123374,1063.0,1063.0005,1164.6231200311959
235,3885.7566056487353,3363.0,3363.0005,3537.2523646433287
235,3953.602974696355,3917.0,3917.0017,3929.2015612269097
235,3842.618814745195,4145.0,4144.999,4044.205946060898
235,3189.6367869135506,2924.0,2924.0002,3012.5456770180585
235,2452.005432539683,2115.0,2115.0,2227.3351441798945
235,2450.121813492065,2348.0,2347.9995,2382.0404417369386
235,2403.9248830173105,2356.0,2356.0005,2371.975123766187
235,1237.9130921518422,1286.0,1286.0,1269.9710307172807
235,1786.098127038266,1774.0,1774.0001,1778.0327497028595
235,1795.369538793178,1886.0,1886.0,1855.7898462643927
235,1509.1886538156855,1221.0,1221.0009,1317.0631694359577
235,1124.029818536918,936.0,936.0002,998.6766672141289
235,1127.5070051280493,1015.0,1014.9999,1052.502294352579
235,1169.973777080602,1099.0,1099.0004,1122.6580477638465
235,1900.4483182339295,1962.0,1962.0001,1941.4828134347474
235,2131.6636912651975,2496.0,2495.9998,2374.5544823748573
235,2053.201880947737,2200.0,2200.0,2151.067293649246
235,1872.7281359056255,1654.0,1654.0002,1726.9094600154167
235,1510.2413726197547,1210.0,1210.0004,1310.0805796102306
235,1501.6271356184052,1288.0,1288.0004,1359.2091672764475
235,1526.0077048708374,1550.0,1549.9996,1542.0024462199665
235,1252.4824425203378,1321.0,1320.9991,1298.1605293427167
235,1799.118048842581,1807.0,1807.0009,1804.372967778256
235,1788.4605051917874,1826.0,1825.9999,1813.4867943738252
235,1539.2809574096098,1572.0,1571.9977,1561.0928793578908
235,1080.6549709275755,1070.0,1069.9996,1073.551534905546
235,1082.739601332611,902.0,902.0009,962.2468389533183
235,1153.19494676628,1023.0,1022.9999,1066.3982748986557
235,1183.247993397753,1196.0,1196.0,1191.7493311325843
235,1555.1918147687256,1594.0,1593.9991,1581.0636534255127
235,1559.0804258798369,1627.0,1627.0009,1604.3604267906749
235,1405.7803837551658,1288.0,1288.0,1327.2601279183884
235,1068.1805767994022,916.0,915.9999,966.7268182430298
235,1072.1261689849944,1027.0,1026.9995,1042.0418935679147
235,1175.9894685917307,1180.0,1180.0001,1178.6631968873478
235,1210.6617706429479,1164.0,1163.9998,1179.553842167441
235,1611.6747545880107,1581.0,1581.0,1591.2249181960035
235,1614.05606411182,1682.0,1681.9999,1659.3519806805025
235,1426.3852284183706,1329.0,1329.0001,1361.4617834962276
