index,RF_Regressor,train_set,AdaBoost_Regressor,XGB_Regressor,ensamble
235,2531.238045204302,2427.0,2427.0,2419.5813,2459.2731146774754
235,2621.4165361855426,2677.0,2677.0,2667.3384,2655.251638363931
235,2637.468032217289,2649.0,2677.0,2667.6702,2660.7127327443045
235,1469.4773722709945,1617.0,1651.0,1598.0859,1572.8544365903315
235,2346.6989721743103,2391.0,2287.0,2391.1948,2341.6312654643534
235,2362.5756229679614,2562.0,2487.0,2635.956,2495.177225885154
235,2136.043768413096,2256.0,2256.0,2268.349,2220.1309631689487
235,1722.1896587964272,2055.0,1539.0,1874.9426,1712.044095249851
235,1558.5553473768523,1273.0,1618.0,1347.4673,1508.0075441777008
235,1361.2707196294257,1131.0,1423.0,1118.3875,1300.886056933767
235,1388.2266327995887,1266.0,1651.0,1257.0995,1432.1087067014253
235,1937.2263396342887,1976.0,2089.0,2027.5853,2017.9372222609088
235,1935.2516669108134,2127.0,2127.0,2167.3079,2076.519842746313
235,1686.0266969758761,1732.0,1976.0,1733.9557,1798.6607951508129
235,1406.652929672352,1578.0,1273.0,1500.0752,1393.242708328284
235,1412.5894218313233,1531.0,1343.0,1401.3845,1385.6579811052327
235,1382.0397083443604,1063.0,1391.0,1240.9005,1337.980073679891
235,3821.362589402428,3363.0,3363.0,3456.2532,3546.871921076851
235,3894.021355275443,3917.0,3959.0,3940.2812,3931.100868425148
235,3767.409257940911,4145.0,4145.0,4123.7563,4012.0552018657204
235,3148.742019845674,2924.0,2924.0,2900.802,2991.1813405996
235,2436.543181143526,2115.0,2427.0,2100.579,2321.374094235342
235,2445.4620798363367,2348.0,2485.0,2331.192,2420.5513247891954
235,2433.5692889540924,2356.0,2578.0,2394.1733,2468.5808762659476
235,1258.8828916996315,1286.0,1466.0,1288.3243,1337.7357441733147
235,1794.7313106095896,1774.0,1979.0,1821.2833,1865.0048786016341
235,1797.916884785414,1886.0,2071.0,1846.4353,1905.1173958399297
235,1487.574648122238,1221.0,1723.0,1227.312,1479.2955532803292
235,1128.2654963768791,936.0,1196.0,945.8072,1090.0242287727617
235,1127.2387242934997,1015.0,1273.0,1020.42596,1140.2215628829895
235,1193.559541621956,1099.0,1288.0,1090.2238,1190.5944321682562
235,1900.747295590308,1962.0,1962.0,1958.2755,1940.340936095207
235,2108.2958340916725,2496.0,2496.0,2467.9736,2357.423155634724
235,2076.3845285361167,2200.0,2292.0,2234.6475,2201.0106631578724
235,1911.2755386487638,1654.0,2127.0,1635.3408,1891.2054529870882
235,1530.301914717711,1210.0,1669.0,1206.2505,1468.5174676663203
235,1523.4411600949502,1288.0,1669.0,1349.841,1514.094034159254
235,1550.528862475903,1550.0,1962.0,1499.4955,1670.6747819581135
235,1270.7773129393365,1321.0,1382.0,1301.571,1318.1161192870704
235,1766.9760242385494,1807.0,1960.0,1822.2554,1849.7437984440996
235,1765.3621460334211,1826.0,1979.0,1857.2996,1867.2205688600989
235,1524.1914464004037,1572.0,1603.0,1537.9761,1555.0558402063846
235,1086.277012342934,1070.0,1151.0,1044.7178,1093.9982619268114
235,1071.3723904093124,902.0,1266.0,941.54645,1092.972946054406
235,1170.0932356459627,1023.0,1266.0,1037.4513,1157.848176530425
235,1193.103381749859,1196.0,1290.0,1147.5844,1210.2292441119323
235,1575.8690549463777,1594.0,1962.0,1579.9905,1705.9531778206674
235,1571.0137890733617,1627.0,1980.0,1616.3391,1722.4509668004957
235,1411.5658657407707,1288.0,1592.0,1290.982,1431.5159738016112
235,1067.6816764280022,916.0,1221.0,918.6105,1069.0973833536048
235,1068.1658900134366,1027.0,1273.0,1034.5872,1125.2510160721872
235,1199.210110784218,1180.0,1266.0,1167.9739,1211.061329245781
235,1223.9704744666349,1164.0,1343.0,1148.3945,1238.455001905545
235,1612.4259384986287,1581.0,1960.0,1625.8594,1732.7617711662097
235,1612.2877361176763,1682.0,1979.0,1676.9563,1756.0813449819336
235,1409.420765315415,1329.0,1593.0,1338.1042,1446.8416711207635
235,1087.9175419283972,1000.0,1151.0,976.6546,1071.857381326393
235,1096.1772887218515,1050.0,1288.0,1060.321,1148.1661112145755
235,1219.6429759251678,1240.0,1290.0,1216.8794,1242.1741234854726
235,1199.8188233312205,1153.0,1343.0,1140.7434,1227.8540771781152
