index,RF_Regressor,train_set,ET_Regressor,XGB_Regressor,ensamble
235,1336.5214905041764,1131.0,1247.4680679413182,1118.3875,1208.3442524043426
235,1438.6905534552623,1266.0,1346.2596865079367,1257.0995,1327.0124318169717
235,1957.4968328250711,1976.0,2085.5531414141415,2027.5853,2011.6588253469126
235,1965.0827783974198,2127.0,2169.86578932179,2167.3079,2107.3141072618337
235,1694.3108926212842,1732.0,1711.8370674603177,1733.9557,1718.025912139541
235,1397.2786706059183,1578.0,1373.4156677489182,1500.0752,1462.1923834168342
235,1398.0855304574861,1531.0,1400.0263031505533,1401.3845,1432.6240887731037
235,1384.338987181003,1063.0,1250.8190044492544,1240.9005,1234.7646260813926
235,3859.86779521867,3363.0,3718.6446759259256,3456.2532,3599.44141124318
235,3962.70723976024,3917.0,4168.114914021165,3940.2812,3997.0258509453515
235,3823.0949593690616,4145.0,3993.4641785714284,4123.7563,4021.328871399185
235,3154.354472245075,2924.0,3019.43144047619,2900.802,2999.6469786685975
235,2560.300070696804,2115.0,2313.701444444445,2100.579,2272.395154175937
235,2496.7035527082567,2348.0,2389.483259259259,2331.192,2391.3446766246916
235,2501.4918354255396,2356.0,2422.2006613756616,2394.1733,2418.4664591612377
235,1278.6407885201838,1286.0,1281.47416005291,1288.3243,1283.6098223483516
235,1750.0199733205218,1774.0,1839.0833436748444,1821.2833,1796.0966605476697
235,1755.2626263520776,1886.0,1901.4221689514206,1846.4353,1847.2800245094684
235,1490.1258246627629,1221.0,1378.179123015872,1227.312,1329.1542398493461
235,1145.611330415226,936.0,1031.4804814814818,945.8072,1014.7247504595284
235,1152.4176026417001,1015.0,1074.0846904761906,1020.42596,1065.4820643683397
235,1185.7921788375884,1099.0,1159.3502910052914,1090.2238,1133.5915561814231
235,1912.3220501412488,1962.0,2287.635813492064,1958.2755,2030.0583440821563
235,2147.001483541785,2496.0,2524.151706349207,2467.9736,2408.781705675873
235,2085.7528895230057,2200.0,2408.3269505772,2234.6475,2232.1818252594267
235,1943.723274439613,1654.0,2026.9498492063485,1635.3408,1815.0034859896155
235,1551.5209198946482,1210.0,1460.2260411255413,1206.2505,1356.99936232536
235,1586.3063400219069,1288.0,1492.6062368927373,1349.841,1429.1883798243643
235,1586.3019878960913,1550.0,1650.594930014431,1499.4955,1571.59810032724
235,1309.5412741309635,1321.0,1274.217776048026,1301.571,1301.5825237752163
235,1742.17568635525,1807.0,1785.8506058201053,1822.2554,1789.3204158172764
235,1730.9766805178972,1826.0,1793.8799270081765,1857.2996,1802.039042018237
235,1525.5137297471613,1572.0,1414.1294722222215,1537.9761,1512.404819047033
235,1087.0124243354408,1070.0,996.3322195767196,1044.7178,1049.515604337415
235,1093.60406825982,902.0,1010.7298174603177,941.54645,986.970083368511
235,1157.7691786634593,1023.0,1139.0206666666659,1037.4513,1089.3102848188596
235,1209.5766180700398,1196.0,1191.1326490638987,1147.5844,1186.073404429969
235,1572.8105725352189,1594.0,1652.094775132275,1579.9905,1599.7239565457796
235,1565.3376884612214,1627.0,1672.6296468253963,1616.3391,1620.3266116536856
235,1444.440927254347,1288.0,1349.6695317460317,1290.982,1343.2731286661103
235,1105.807809017362,916.0,996.4554695767201,918.6105,984.2184380567237
235,1104.0286913962054,1027.0,1039.2162698412699,1034.5872,1051.20802986015
235,1178.7927952223583,1180.0,1177.4100912698404,1167.9739,1176.044190861331
235,1223.134555635011,1164.0,1230.6380710215706,1148.3945,1191.5417894766454
235,1618.6573510771561,1581.0,1692.1150529100523,1625.8594,1629.407944746802
235,1619.033269880575,1682.0,1703.471587662337,1676.9563,1670.3652890927592
235,1466.1782752103688,1329.0,1376.3736468253965,1338.1042,1377.4140425206601
235,1096.368283273464,1000.0,1000.134771164021,976.6546,1018.2894141220665
235,1103.1492628353437,1050.0,1092.9710833333331,1060.321,1076.6103477726379
235,1216.60001599396,1240.0,1227.1393902116406,1216.8794,1225.1547001842127
235,1223.2562306415527,1153.0,1190.8875935083436,1140.7434,1176.9718080882553
235,1576.334208055115,1608.0,1651.4707248677246,1605.3971,1610.3005069123506
235,1562.0002934529205,1669.0,1675.0259886964882,1639.1202,1636.2866303518053
235,1458.3767837870018,1290.0,1327.7108611111112,1307.704,1345.947906097575
235,1189.6205821790215,970.0,1014.5326203703704,1070.2078,1061.0902415553169
235,1279.5576600946895,1480.0,1208.3990780423283,1403.9178,1342.9686462041764
